[dispatcher] LAUNCH milestone 49 in C:\Users\gbran\OneDrive\Documents\spikeling-os-wt-m49 (active now: 1/2)
[dispatcher] LAUNCH milestone 48 in C:\Users\gbran\OneDrive\Documents\spikeling-os-wt-m48 (active now: 2/2)
[dispatcher] tick -- active=[49, 48] pending=[46, 47] finished={}
[dispatcher] tick -- active=[49, 48] pending=[46, 47] finished={}
[dispatcher] tick -- active=[49, 48] pending=[46, 47] finished={}
[dispatcher] tick -- active=[49, 48] pending=[46, 47] finished={}
[dispatcher] tick -- active=[49, 48] pending=[46, 47] finished={}
[dispatcher] tick -- active=[49, 48] pending=[46, 47] finished={}
[dispatcher] tick -- active=[49, 48] pending=[46, 47] finished={}
[dispatcher] tick -- active=[49, 48] pending=[46, 47] finished={}
[dispatcher] tick -- active=[49, 48] pending=[46, 47] finished={}
[dispatcher] tick -- active=[49, 48] pending=[46, 47] finished={}
[dispatcher] tick -- active=[49, 48] pending=[46, 47] finished={}
[dispatcher] tick -- active=[49, 48] pending=[46, 47] finished={}
[dispatcher] tick -- active=[49, 48] pending=[46, 47] finished={}
[dispatcher] tick -- active=[49, 48] pending=[46, 47] finished={}
[dispatcher] tick -- active=[49, 48] pending=[46, 47] finished={}
[dispatcher] tick -- active=[49, 48] pending=[46, 47] finished={}
[dispatcher] tick -- active=[49, 48] pending=[46, 47] finished={}
[dispatcher] tick -- active=[49, 48] pending=[46, 47] finished={}
